,index,Adversaire,Date,Lieu,Genre,Infos,Victoire,Score vainqueur,Score perdant,Score mi-temps vainqueur,Score mi-temps perdant,Année,Compétition
0,?refer=match&param=1006&GET_CAT=1,ITALIE,1926-04-04,MILAN,Amical,04/04/1926 à MILAN  (Italie),False,23,17,12.0,6.0,1926,Amical
1,?refer=match&param=1007&GET_CAT=1,ITALIE,1927-04-18,PARIS,Amical,18/04/1927 à PARIS  (France),False,22,18,10.0,7.0,1927,Amical
2,?refer=match&param=1008&GET_CAT=1,BELGIQUE,1928-05-06,BRUXELLES,Amical,06/05/1928 à BRUXELLES  (Belgique),True,31,17,12.0,12.0,1928,Amical
3,?refer=match&param=1009&GET_CAT=1,BELGIQUE,1930-06-08,BRUXELLES,Amical,08/06/1930 à BRUXELLES  (Belgique),True,35,21,,,1930,Amical
4,?refer=match&param=1010&GET_CAT=1,BELGIQUE,1931-04-26,PARIS,Amical,26/04/1931 à PARIS  (France),True,53,21,,,1931,Amical
5,?refer=match&param=1011&GET_CAT=1,PORTUGAL,1931-05-24,PORTO,Amical,24/05/1931 à PORTO  (Portugal),True,32,9,,,1931,Amical
6,?refer=match&param=1012&GET_CAT=1,SUISSE,1932-03-05,GENEVE,Amical,05/03/1932 à GENEVE  (Suisse),True,39,19,14.0,15.0,1932,Amical
7,?refer=match&param=1013&GET_CAT=1,BELGIQUE,1932-04-10,PARIS,Amical,10/04/1932 à PARIS  (France),True,52,18,16.0,12.0,1932,Amical
8,?refer=match&param=1014&GET_CAT=1,PORTUGAL,1932-05-15,PARIS,Amical,15/05/1932 à PARIS  (France),True,52,33,38.0,12.0,1932,Amical
9,?refer=match&param=1015&GET_CAT=1,PORTUGAL,1933-04-16,PORTO,Amical,16/04/1933 à PORTO  (Portugal),True,56,28,31.0,13.0,1933,Amical
10,?refer=match&param=1016&GET_CAT=1,BELGIQUE,1933-05-14,BRUXELLES,Amical,14/05/1933 à BRUXELLES  (Belgique),True,19,12,3.0,6.0,1933,Amical
11,?refer=match&param=1017&GET_CAT=1,BELGIQUE,1934-04-22,PARIS,Amical,22/04/1934 à PARIS  (France),True,50,17,23.0,5.0,1934,Amical
12,?refer=match&param=1018&GET_CAT=1,PORTUGAL,1934-05-06,PARIS,Amical,06/05/1934 à PARIS  (France),True,79,37,34.0,15.0,1934,Amical
13,?refer=match&param=1561&GET_CAT=1,TCHECOSLOVAQUIE,1935-05-02,GENEVE,Championnat d'Europe,02/05/1935 à GENEVE  (Suisse),False,23,21,16.0,13.0,1935,Championnat d'Europe 1935
14,?refer=match&param=1562&GET_CAT=1,ROUMANIE,1935-05-03,GENEVE,Championnat d'Europe,03/05/1935 à GENEVE  (Suisse),True,66,23,40.0,11.0,1935,Championnat d'Europe 1935
15,?refer=match&param=1563&GET_CAT=1,ITALIE,1935-05-04,GENEVE,Championnat d'Europe,04/05/1935 à GENEVE  (Suisse),True,29,27,16.0,17.0,1935,Championnat d'Europe 1935
16,?refer=match&param=1564&GET_CAT=1,BELGIQUE,1935-05-05,GENEVE,Championnat d'Europe,05/05/1935 à GENEVE  (Suisse),True,49,30,31.0,10.0,1935,Championnat d'Europe 1935
17,?refer=match&param=1019&GET_CAT=1,SUISSE,1935-10-06,PARIS,Amical,06/10/1935 à PARIS  (France),True,39,20,18.0,13.0,1935,Amical
18,?refer=match&param=1941&GET_CAT=1,ESTONIE,1936-08-07,BERLIN,Jeux Olympiques,07/08/1936 à BERLIN  (Allemagne),False,34,29,16.0,17.0,1936,Jeux Olympiques 1936
19,?refer=match&param=1942&GET_CAT=1,CHINE,1936-08-08,BERLIN,Jeux Olympiques,08/08/1936 à BERLIN  (Allemagne),False,45,38,22.0,22.0,1936,Jeux Olympiques 1936
20,?refer=match&param=1020&GET_CAT=1,ITALIE,1937-04-11,ROME,Amical,11/04/1937 à ROME  (Italie),False,44,35,24.0,9.0,1937,Amical
21,?refer=match&param=1565&GET_CAT=1,POLOGNE,1937-05-03,RIGA,Championnat d'Europe,03/05/1937 à RIGA  (Lettonie),True,29,24,15.0,11.0,1937,Championnat d'Europe 1937
22,?refer=match&param=1566&GET_CAT=1,TCHECOSLOVAQUIE,1937-05-04,RIGA,Championnat d'Europe,04/05/1937 à RIGA  (Lettonie),True,26,19,9.0,8.0,1937,Championnat d'Europe 1937
23,?refer=match&param=1567&GET_CAT=1,LETTONIE,1937-05-05,RIGA,Championnat d'Europe,05/05/1937 à RIGA  (Lettonie),False,26,20,15.0,14.0,1937,Championnat d'Europe 1937
