,id_match,Nom,Club,Points,id_joueur
0,?refer=match&param=1006&GET_CAT=1,Georges BEAUFUME,AS Bon Conseil,ND,?refer=joueur&PARAM=327&GET_CAT=1
1,?refer=match&param=1006&GET_CAT=1,Jules DELANNOY,Tourcoing,ND,?refer=joueur&PARAM=328&GET_CAT=1
2,?refer=match&param=1006&GET_CAT=1,Marcel LAFONTAINE,Stade Français,ND,?refer=joueur&PARAM=329&GET_CAT=1
3,?refer=match&param=1006&GET_CAT=1, REMUS,Montferrand,ND,?refer=joueur&PARAM=330&GET_CAT=1
4,?refer=match&param=1006&GET_CAT=1,Marius THOMAS,Romilly,ND,?refer=joueur&PARAM=331&GET_CAT=1
5,?refer=match&param=1007&GET_CAT=1,Georges BEAUFUME,AS Bon Conseil,ND,?refer=joueur&PARAM=327&GET_CAT=1
6,?refer=match&param=1007&GET_CAT=1,Jean-Marie CONTY,Stade Français,ND,?refer=joueur&PARAM=332&GET_CAT=1
7,?refer=match&param=1007&GET_CAT=1,Pierre GUILLOUX,Stade Français,ND,?refer=joueur&PARAM=333&GET_CAT=1
8,?refer=match&param=1007&GET_CAT=1,Marcel LAFONTAINE,Stade Français,ND,?refer=joueur&PARAM=329&GET_CAT=1
9,?refer=match&param=1007&GET_CAT=1,Camille VERITE,Paris Bon Conseil,ND,?refer=joueur&PARAM=334&GET_CAT=1
10,?refer=match&param=1008&GET_CAT=1,Marcel BEAULIEU,Red Star,ND,?refer=joueur&PARAM=335&GET_CAT=1
11,?refer=match&param=1008&GET_CAT=1,Roger BURNEL,Plaisance,ND,?refer=joueur&PARAM=336&GET_CAT=1
12,?refer=match&param=1008&GET_CAT=1,Paul HOTILLE,TOURCOING,ND,?refer=joueur&PARAM=337&GET_CAT=1
13,?refer=match&param=1008&GET_CAT=1,Marcel LAFONTAINE,Stade Français,ND,?refer=joueur&PARAM=329&GET_CAT=1
14,?refer=match&param=1008&GET_CAT=1,Henri SAHUGUET,,ND,?refer=joueur&PARAM=339&GET_CAT=1
15,?refer=match&param=1008&GET_CAT=1,Amédée SABOURDY,Montrouge,ND,?refer=joueur&PARAM=346&GET_CAT=1
16,?refer=match&param=1009&GET_CAT=1,Marcel BEAULIEU,RCF Paris,ND,?refer=joueur&PARAM=335&GET_CAT=1
17,?refer=match&param=1009&GET_CAT=1,Roger BURNEL,Plaisance,ND,?refer=joueur&PARAM=336&GET_CAT=1
18,?refer=match&param=1009&GET_CAT=1,Jacques FLOURET,Paris UC,ND,?refer=joueur&PARAM=340&GET_CAT=1
19,?refer=match&param=1009&GET_CAT=1,Paul HOTILLE,TOURCOING,ND,?refer=joueur&PARAM=337&GET_CAT=1
20,?refer=match&param=1009&GET_CAT=1,Henri SAHUGUET,,ND,?refer=joueur&PARAM=339&GET_CAT=1
21,?refer=match&param=1010&GET_CAT=1,Charles FONTEYNE,Lille,0,?refer=joueur&PARAM=342&GET_CAT=1
22,?refer=match&param=1010&GET_CAT=1,Jacques MORENO,Stade Français,0,?refer=joueur&PARAM=344&GET_CAT=1
23,?refer=match&param=1010&GET_CAT=1,Roger BURNEL,Plaisance,2,?refer=joueur&PARAM=336&GET_CAT=1
24,?refer=match&param=1010&GET_CAT=1,Amédée SABOURDY,Montrouge,4,?refer=joueur&PARAM=346&GET_CAT=1
25,?refer=match&param=1010&GET_CAT=1,Antoine RUDLER,Mulhouse,14,?refer=joueur&PARAM=345&GET_CAT=1
26,?refer=match&param=1010&GET_CAT=1,Henri HELL,Montrouge,15,?refer=joueur&PARAM=343&GET_CAT=1
27,?refer=match&param=1010&GET_CAT=1,Marc BURNEL,Plaisance,18,?refer=joueur&PARAM=341&GET_CAT=1
28,?refer=match&param=1011&GET_CAT=1,Marc BURNEL,Plaisance,ND,?refer=joueur&PARAM=341&GET_CAT=1
29,?refer=match&param=1011&GET_CAT=1,Roger BURNEL,Plaisance,ND,?refer=joueur&PARAM=336&GET_CAT=1
30,?refer=match&param=1011&GET_CAT=1,Charles FONTEYNE,Lille,ND,?refer=joueur&PARAM=342&GET_CAT=1
31,?refer=match&param=1011&GET_CAT=1,Henri HELL,Montrouge,ND,?refer=joueur&PARAM=343&GET_CAT=1
32,?refer=match&param=1011&GET_CAT=1,Jacques MORENO,Stade Français,ND,?refer=joueur&PARAM=344&GET_CAT=1
33,?refer=match&param=1011&GET_CAT=1,Antoine RUDLER,Mulhouse,ND,?refer=joueur&PARAM=345&GET_CAT=1
34,?refer=match&param=1012&GET_CAT=1,Marc BURNEL,Plaisance,ND,?refer=joueur&PARAM=341&GET_CAT=1
35,?refer=match&param=1012&GET_CAT=1,Roger BURNEL,Plaisance,ND,?refer=joueur&PARAM=336&GET_CAT=1
36,?refer=match&param=1012&GET_CAT=1,Henri HELL,Montrouge,ND,?refer=joueur&PARAM=343&GET_CAT=1
37,?refer=match&param=1012&GET_CAT=1,Antoine RUDLER,Mulhouse,ND,?refer=joueur&PARAM=345&GET_CAT=1
38,?refer=match&param=1012&GET_CAT=1,Francis RUDLER,Mulhouse,ND,?refer=joueur&PARAM=347&GET_CAT=1
39,?refer=match&param=1012&GET_CAT=1,Amédée SABOURDY,Montrouge,ND,?refer=joueur&PARAM=346&GET_CAT=1
